id_setor_censitario,sigla_uf,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063
350600305000359,SP2,10,16,16,17,8,7,11,18,16,12,8,8
350600305000464,SP2,1,41,98,91,117,82,91,79,58,71,62,47
350600305000465,SP2,0,16,57,91,61,79,88,82,88,93,55,71
350600305000466,SP2,1,3,3,7,19,22,33,32,37,54,53,59
350635905000008,SP2,8,10,10,9,13,13,10,17,9,18,16,14
350635905000024,SP2,19,18,18,17,23,16,12,18,15,21,12,18
350635905000028,SP2,10,13,14,13,16,16,13,19,22,14,20,16
350635905000031,SP2,15,17,11,15,11,17,17,17,11,14,16,14
350650805000060,SP2,7,9,6,4,10,12,9,17,10,10,13,11
350650805000069,SP2,11,10,5,21,14,6,14,20,21,23,14,12
350700105000002,SP2,7,5,9,6,10,11,14,19,9,11,4,7
350700105000007,SP2,17,11,21,18,16,17,26,18,15,20,13,12
350700105000020,SP2,8,11,10,14,14,9,9,17,11,10,11,6
350700105000025,SP2,18,9,15,16,14,22,17,23,22,21,15,22
350700105000027,SP2,20,18,17,18,24,17,20,27,22,14,16,12
350700105000035,SP2,6,9,9,12,16,13,17,18,13,11,4,8
350700105000036,SP2,20,16,20,15,14,17,16,19,15,9,17,9
350710005000048,SP2,13,10,15,15,19,20,10,22,6,15,12,19
350760505000051,SP2,5,2,10,5,7,3,5,18,5,10,6,5
350780305000023,SP2,21,14,17,15,13,13,13,19,16,9,18,21
350790205000008,SP2,4,4,11,6,12,10,15,17,6,8,4,5
350800905000006,SP2,21,17,11,11,12,17,30,18,10,16,20,7
350840520000010,SP2,16,14,18,16,23,16,21,23,12,18,13,11
350840520000025,SP2,10,20,7,13,15,13,21,17,11,9,13,9
350880105000014,SP2,18,14,17,18,10,7,17,18,14,15,11,12
350900705000050,SP2,10,9,17,15,17,14,19,18,12,17,20,13
350900705000058,SP2,17,14,14,18,13,19,13,21,14,18,7,17
350900705000065,SP2,14,10,14,17,17,14,18,17,14,11,18,12
350920505000006,SP2,9,10,21,12,14,15,16,17,11,11,12,17
350920510000003,SP2,16,15,19,25,19,10,18,17,16,19,12,10
350920510000008,SP2,16,13,15,15,15,12,9,21,16,10,15,10
350920515000004,SP2,9,10,11,16,15,13,18,17,7,12,11,10
350920515000006,SP2,21,20,22,13,13,15,13,18,13,20,19,20
350925405000014,SP2,8,8,10,7,13,7,2,20,13,9,7,12
350930405000011,SP2,11,10,12,13,14,14,18,17,20,18,12,18
350950205000342,SP2,22,18,26,21,19,15,26,30,14,21,17,6
350950205000471,SP2,3,10,8,9,13,6,7,20,9,9,13,2
350950205000826,SP2,11,4,15,6,13,11,17,17,8,10,10,6
350950205000864,SP2,18,16,18,14,13,18,10,18,11,15,23,9
350950205000928,SP2,6,18,29,38,66,66,72,52,91,73,76,70
350950205000992,SP2,13,10,12,12,5,4,8,23,8,22,23,27
350950205001015,SP2,20,14,19,19,12,13,11,18,10,11,16,15
350950205001057,SP2,10,5,9,6,8,5,9,17,5,6,7,8
350950205001101,SP2,19,20,24,33,18,23,30,21,27,27,49,44
350950205001109,SP2,14,8,4,11,10,13,4,17,6,7,9,9
