id_setor_censitario,pessoas_5anos_mais_alfab
355030811000203,528
355030811000204,557
355030811000205,737
355030811000206,441
355030811000207,325
355030811000208,586
355030811000209,632
355030811000210,902
355030811000211,729
355030811000212,575
355030811000213,543
355030811000215,201
355030811000217,1372
355030811000218,749
355030811000219,515
355030811000220,328
355030811000221,1619
355030811000222,388
355030811000223,732
355030811000224,994
355030811000225,317
355030811000226,108
355030811000227,1190
355030811000228,564
355030811000229,640
355030811000230,556
355030811000231,478
355030811000232,414
355030811000233,699
355030811000234,381
355030811000235,739
355030811000236,748
355030811000237,681
355030811000238,592
355030811000239,633
355030811000240,678
355030811000241,523
355030811000242,735
355030811000243,728
355030811000244,714
355030811000245,387
355030811000246,475
355030811000247,496
355030811000248,590
355030811000249,504
355030811000250,243
355030811000251,372
355030811000252,278
355030811000253,565
355030811000255,1178
355030811000256,1065
355030811000257,362
355030811000258,646
355030811000259,937
355030811000260,581
355030811000261,694
355030811000262,474
355030811000263,364
355030811000265,32
355030811000266,114
355030811000271,480
355030811000272,331
355030811000273,608
355030811000274,455
355030811000275,462
355030811000276,305
355030811000277,161
355030811000278,208
355030811000279,422
355030811000280,400
355030811000281,165
355030811000282,298
355030811000283,424
355030811000284,359
355030811000285,201
355030811000286,304
355030811000287,319
355030811000288,329
355030811000289,660
355030811000290,669
355030811000291,1344
355030811000292,375
355030811000293,160
355030811000294,529
355030811000295,460
355030811000296,533
355030811000297,515
355030811000298,559
355030811000299,595
355030811000300,386
355030811000301,181
355030811000302,332
355030811000303,355
355030811000304,756
355030811000305,449
355030811000306,793
355030811000307,302
355030811000308,714
355030811000309,527
355030811000310,489
355030811000311,527
355030811000312,746
355030811000313,267
355030811000314,497
355030811000315,1038
355030811000316,617
355030811000317,543
355030811000318,534
355030811000319,1722
355030811000320,683
355030811000321,590
355030811000322,850
355030811000323,212
355030811000324,757
355030811000325,632
355030811000326,606
355030811000327,367
355030811000329,81
355030811000331,2148
355030811000333,961
355030811000334,112
355030811000335,408
355030811000336,685
355030811000338,270
355030811000339,2187
355030811000341,6
355030811000343,153
355030811000344,351
355030811000345,6
355030811000346,203
355030811000350,288
355030811000352,44
355030811000354,1853
355030811000355,954
355030811000356,246
355030811000357,111
355030811000358,214
355030811000359,479
355030811000360,221
355030811000361,109
355030811000362,133
355030811000363,295
355030811000364,902
355030811000365,307
355030811000366,70
355030811000367,131
355030811000368,497
355030811000369,349
355030811000370,298
355030811000371,148
355030811000372,194
355030811000373,525
355030811000374,690
355030811000375,923
355030811000376,476
355030811000377,503
355030811000378,126
355030811000379,313
355030811000380,244
355030811000381,378
355030811000382,46
355030811000383,133
355030811000384,1091
355030811000385,532
355030811000386,443
355030811000387,133
355030811000388,263
355030811000389,112
355030811000390,416
355030812000001,432
355030812000002,645
355030812000003,547
355030812000004,306
355030812000005,245
355030812000006,408
355030812000007,711
355030812000008,322
355030812000009,386
355030812000010,534
355030812000011,414
355030812000012,203
355030812000013,294
355030812000014,294
355030812000015,408
355030812000016,271
355030812000017,462
355030812000018,607
355030812000019,348
355030812000020,324
355030812000021,180
355030812000022,239
355030812000023,239
355030812000024,129
355030812000025,646
355030812000026,333
355030812000027,159
355030812000028,351
355030812000029,265
355030812000030,493
355030812000031,513
355030812000032,202
355030812000033,250
355030812000034,478
355030812000035,431
355030812000036,355
355030812000037,485
355030812000038,35
355030812000039,149
355030812000040,445
355030812000041,513
355030812000042,458
355030812000043,341
355030812000044,312
355030812000045,331
355030812000046,272
